Fiddler's Green,1333 Columbus Avenue San Francisco CA 94133,37.50972584293751,-96.943359375,1
The Buena Vista Caf_,2765 Hyde Street San Francisco CA94109,37.8064215,-122.42065880000001,1
O'Reilly's,622 Green Street San Francisco CA 94133,37.7994849,-122.4097749,1
Kell's,530 Jackson Street San Francisco CA 94133,37.7964087,-122.40406330000002,2
Irish Times,500 Sacramento Street San Francisco CA 94111,37.7940277,-122.40159560000001,1
Harrington's,245 Front Street San Francisco CA 94111,37.7940415,-122.39900490000002,2
The Irish Bank,10 Mark Lane San Francisco CA 94108,37.7905723,-122.4047347,2
Johny Foley's,243 O'Farrell Street San Francisco CA 94102,37.786268,-122.40873499999998,2
Civic Center,1 Dr. Carlton B Goodlett Place San Francisco CA 94102,37.776712,-122.41807460000001,1
Danny Coyle's,668 Haight Street San Francisco CA 94117,37.7718654,-122.43327310000001,1
Phoenix,811 Valencia Street San Francisco CA 94110,37.7598267,-122.42130350000002,2
The Liberties,998 Guerrero Street San Francisco CA 94110,37.7552974,-122.42334499999998,1
